May 4, 2019, 11:06:03 AM
Results for 1000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,lk.PlatoRobot*,168852 (98%),47700,9540,92285,15927,2916,485,954,46,0
2nd,sample.SittingDuck,2760 (2%),2300,460,0,0,0,0,46,954,0
$
