May 4, 2019, 11:05:32 AM
Results for 1000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,lk.PlatoRobot*,169459 (98%),47750,9550,92450,15676,3258,775,955,45,0
2nd,sample.SittingDuck,2700 (2%),2250,450,0,0,0,0,45,955,0
$
