May 4, 2019, 11:05:12 AM
Results for 1000 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,lk.PlatoRobot*,168651 (98%),47850,9570,92420,15851,2579,381,957,43,0
2nd,sample.SittingDuck,2580 (2%),2150,430,0,0,0,0,43,957,0
$
